description,money
Average handbag. You get what you pay for.,neutral
Love the material of this handbag. Feels so luxurious!,positive
The watch was acceptable but nothing memorable.,neutral
This t-shirt is the best purchase I've made in months.,positive
Average jeans. You get what you pay for.,neutral
I'm obsessed with this dress! It’s exactly what I was looking for.,positive
I'm obsessed with this dress! It’s exactly what I was looking for.,positive
The jacket was too small and the color didn’t match the picture.,negative
This scarf is so soft and stylish! I get compliments everywhere I go.,positive
Average dress. You get what you pay for.,neutral
Absolutely love the dress! Fits perfectly and looks amazing.,positive
"Okay shoes. Works for now, but I might not repurchase.",neutral
Perfect jacket for the price. Will definitely buy again!,positive
"Okay dress. Works for now, but I might not repurchase.",neutral
"Okay jeans. Works for now, but I might not repurchase.",neutral
Perfect jeans for the price. Will definitely buy again!,positive
"Decent experience overall, though the shoes could be better.",neutral
The hat broke within a few days of use. Very disappointed.,negative
Absolutely love the dress! Fits perfectly and looks amazing.,positive
The jeans exceeded my expectations. Highly recommended!,positive
"Okay dress. Works for now, but I might not repurchase.",neutral
The shoes didn’t fit well and feels poorly made.,negative
Absolutely love the dress! Fits perfectly and looks amazing.,positive
The jacket was okay. Nothing exceptional but not bad either.,neutral
The scarf didn’t fit well and feels poorly made.,negative
The coat arrived damaged and the quality was poor.,negative
Fantastic shoes. High quality and worth every penny.,positive
The shoes felt uncomfortable after just one wear.,negative
The shoes broke within a few days of use. Very disappointed.,negative
The jacket felt uncomfortable after just one wear.,negative
The shoes was okay. Nothing exceptional but not bad either.,neutral
The handbag was acceptable but nothing memorable.,neutral
Super comfy and stylish coat. Everyone loves it!,positive
The hat was acceptable but nothing memorable.,neutral
Great experience! The shoes was perfect and delivery was quick.,positive
The hat was too small and the color didn’t match the picture.,negative
This handbag is so soft and stylish! I get compliments everywhere I go.,positive
An average jacket. Does the job but not impressive.,neutral
This dress is the best purchase I've made in months.,positive
An average hat. Does the job but not impressive.,neutral
The watch arrived damaged and the quality was poor.,negative
Not happy with the hat. Definitely returning it.,negative
Super comfy and stylish jacket. Everyone loves it!,positive
Great experience! The jacket was perfect and delivery was quick.,positive
This dress is so soft and stylish! I get compliments everywhere I go.,positive
A standard jeans. It's neither great nor terrible.,neutral
"Okay watch. Works for now, but I might not repurchase.",neutral
The handbag didn’t fit well and feels poorly made.,negative
The coat broke within a few days of use. Very disappointed.,negative
The t-shirt was okay. Nothing exceptional but not bad either.,neutral
The jeans was acceptable but nothing memorable.,neutral
"Okay shoes. Works for now, but I might not repurchase.",neutral
The jacket exceeded my expectations. Highly recommended!,positive
This shoes is so soft and stylish! I get compliments everywhere I go.,positive
Poor quality hat. It looks cheap and feels even worse.,negative
Terrible experience! The handbag was nothing like the description.,negative
Terrible experience! The dress was nothing like the description.,negative
Extremely dissatisfied with the hat. Would not recommend.,negative
Not happy with the watch. Definitely returning it.,negative
Absolutely love the watch! Fits perfectly and looks amazing.,positive
The watch felt uncomfortable after just one wear.,negative
The hat was too small and the color didn’t match the picture.,negative
Fantastic coat. High quality and worth every penny.,positive
"The watch looks exactly like the picture, but the material feels basic.",neutral
Fantastic dress. High quality and worth every penny.,positive
Love the material of this shoes. Feels so luxurious!,positive
Super comfy and stylish dress. Everyone loves it!,positive
The watch arrived damaged and the quality was poor.,negative
Fantastic shoes. High quality and worth every penny.,positive
The watch felt uncomfortable after just one wear.,negative
Average dress. You get what you pay for.,neutral
Awful watch. A complete waste of money.,negative
"The coat looks exactly like the picture, but the material feels basic.",neutral
This t-shirt is so soft and stylish! I get compliments everywhere I go.,positive
Super comfy and stylish dress. Everyone loves it!,positive
This t-shirt is the best purchase I've made in months.,positive
"Decent experience overall, though the coat could be better.",neutral
Poor quality scarf. It looks cheap and feels even worse.,negative
I'm obsessed with this jacket! It’s exactly what I was looking for.,positive
The shoes broke within a few days of use. Very disappointed.,negative
Average shoes. You get what you pay for.,neutral
An average t-shirt. Does the job but not impressive.,neutral
The shoes exceeded my expectations. Highly recommended!,positive
"The dress looks exactly like the picture, but the material feels basic.",neutral
Great experience! The shoes was perfect and delivery was quick.,positive
The scarf was okay. Nothing exceptional but not bad either.,neutral
"Decent experience overall, though the watch could be better.",neutral
Love the material of this watch. Feels so luxurious!,positive
The jacket was acceptable but nothing memorable.,neutral
Super comfy and stylish dress. Everyone loves it!,positive
I'm obsessed with this t-shirt! It’s exactly what I was looking for.,positive
Love the material of this coat. Feels so luxurious!,positive
Perfect dress for the price. Will definitely buy again!,positive
An average coat. Does the job but not impressive.,neutral
"Decent experience overall, though the scarf could be better.",neutral
The shoes exceeded my expectations. Highly recommended!,positive
The hat felt uncomfortable after just one wear.,negative
A standard t-shirt. It's neither great nor terrible.,neutral
The coat felt uncomfortable after just one wear.,negative
Fantastic handbag. High quality and worth every penny.,positive
"It’s a jacket. Nothing more, nothing less.",neutral
Awful watch. A complete waste of money.,negative
The dress was okay. Nothing exceptional but not bad either.,neutral
Awful scarf. A complete waste of money.,negative
Absolutely love the watch! Fits perfectly and looks amazing.,positive
Terrible experience! The dress was nothing like the description.,negative
